radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.1125,1.78465,7.7787,7.85965,6.6926,4.38571,0.781827,1.11459,1.50747,1.14908
0.113,1.78309,7.7593,7.81555,6.70384,4.30795,0.751699,1.08052,1.46156,1.11053
0.1135,1.78153,7.73935,7.77105,6.71463,4.23116,0.722605,1.04734,1.41685,1.0731
0.114,1.77997,7.71893,7.72626,6.725,4.15547,0.694562,1.01509,1.37338,1.03684
0.1145,1.77841,7.69769,7.68082,6.7346,4.08065,0.667498,0.98368,1.33105,1.00165
0.115,1.77684,7.67584,7.63493,6.74366,4.00673,0.641379,0.953104,1.28985,0.967508
0.1155,1.77525,7.65358,7.58878,6.75236,3.93382,0.616187,0.923361,1.24977,0.934406
0.116,1.77367,7.63054,7.54204,6.76033,3.86182,0.59188,0.894405,1.21074,0.90229
0.1165,1.77209,7.60691,7.49489,6.76774,3.79074,0.56844,0.866235,1.17278,0.871154
0.117,1.77051,7.58293,7.44761,6.77482,3.72074,0.545871,0.838871,1.1359,0.841014
0.1175,1.76893,7.55841,7.39997,6.78134,3.65173,0.524133,0.812284,1.10007,0.811827
0.118,1.76733,7.53322,7.35186,6.78723,3.58356,0.503161,0.786404,1.06519,0.783514
0.1185,1.76573,7.50759,7.30348,6.79267,3.51635,0.482952,0.761242,1.03128,0.756083
0.119,1.76415,7.48157,7.25496,6.7977,3.45025,0.463519,0.736834,0.998385,0.729562
0.1195,1.76255,7.45481,7.20593,6.80199,3.38494,0.444783,0.713082,0.966378,0.703848
0.12,1.76095,7.42753,7.15657,6.80578,3.32052,0.426729,0.689991,0.935255,0.678933
0.1205,1.75934,7.39988,7.10704,6.80916,3.25708,0.409351,0.667572,0.905033,0.654822
0.121,1.75773,7.37171,7.05724,6.81198,3.19459,0.392631,0.645802,0.875695,0.631494
0.1215,1.75612,7.34305,7.00718,6.81424,3.13302,0.376542,0.62467,0.847204,0.608923
0.122,1.75451,7.31431,6.95724,6.81638,3.07252,0.361075,0.604181,0.819574,0.587105
0.1225,1.7529,7.28478,6.90676,6.8177,3.01279,0.34618,0.584269,0.792715,0.565972
0.123,1.75128,7.25476,6.85607,6.81842,2.954,0.331865,0.564961,0.766669,0.545545
0.1235,1.74966,7.22465,6.8055,6.81896,2.89625,0.318111,0.546259,0.741427,0.525814
0.124,1.74803,7.19378,6.75441,6.81876,2.83919,0.304855,0.528084,0.71686,0.506688
0.1245,1.74641,7.16249,6.70318,6.81802,2.78308,0.292123,0.510491,0.693049,0.488213
0.125,1.74478,7.13078,6.65178,6.81674,2.72786,0.279891,0.493465,0.669963,0.470362
0.1255,1.74315,7.09902,6.60055,6.81531,2.67363,0.268143,0.477021,0.647592,0.453123
0.126,1.74151,7.06681,6.54913,6.81338,2.62022,0.256844,0.461119,0.625878,0.43645
0.1265,1.73988,7.03381,6.49721,6.81058,2.56752,0.245974,0.445759,0.604786,0.420311
0.127,1.73823,7.00066,6.44537,6.80747,2.51577,0.235544,0.431035,0.584364,0.404741
0.1275,1.73658,6.9673,6.39359,6.80401,2.46493,0.225535,0.416916,0.564586,0.389713
0.128,1.73493,6.93349,6.34164,6.79999,2.41491,0.215924,0.403448,0.545414,0.375201
0.1285,1.73328,6.89919,6.28946,6.79535,2.36567,0.206689,0.390677,0.526818,0.361176
0.129,1.73162,6.8646,6.23723,6.7903,2.31722,0.197818,0.378645,0.508787,0.347622
0.1295,1.72997,6.83004,6.18529,6.7851,2.26976,0.189322,0.367485,0.49136,0.334569
0.13,1.72831,6.795,6.13317,6.77931,2.22304,0.181162,0.35729,0.474464,0.321961
0.1305,1.72665,6.75951,6.08089,6.77293,2.17705,0.173326,0.348117,0.45808,0.30978
0.131,1.72498,6.72389,6.02872,6.76622,2.13193,0.165816,0.340146,0.44223,0.298039
0.1315,1.72331,6.68786,5.97643,6.75897,2.08753,0.158605,0.333591,0.426863,0.286699
0.132,1.72164,6.65164,5.92424,6.75136,2.04394,0.151693,0.328589,0.411992,0.275766
0.1325,1.71997,6.61506,5.87197,6.74322,2.00109,0.145063,0.325468,0.397586,0.265217
0.133,1.71829,6.57823,5.81972,6.73467,1.95898,0.138702,0.324355,0.383629,0.255037
0.1335,1.71661,6.54144,5.76774,6.72594,1.91771,0.132613,0.32547,0.370139,0.245236
0.134,1.71493,6.50428,5.71572,6.71671,1.87713,0.126772,0.329539,0.357068,0.235778
0.1345,1.71323,6.46671,5.6636,6.70686,1.83726,0.121173,0.336572,0.34441,0.226659
0.135,1.71155,6.42897,5.61159,6.69656,1.79814,0.115814,0.346709,0.332167,0.217878
0.1355,1.70986,6.39108,5.55968,6.68599,1.75971,0.110673,0.360873,0.320303,0.209405
0.136,1.70816,6.35302,5.50787,6.67507,1.72198,0.105747,0.379209,0.308813,0.201237
0.1365,1.70647,6.31477,5.45618,6.6637,1.68498,0.101034,0.401832,0.297705,0.193377
0.137,1.70478,6.27644,5.40468,6.65204,1.6487,0.0965232,0.430049,0.286956,0.18581
