E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.6,0.642952636714277,0.39021538093337105,1.0659153623534601e-46
1.6,0.6432228629479291,0.390660468793638,1.0416901896075801e-46
1.6,0.6436876318443621,0.39142523915626304,1.0003565986419701e-46
1.6,0.644152973374563,0.392190009518888,9.59414695650905e-47
1.6,0.6444240600992521,0.39263509737915603,9.357783483163971e-47
1.6,0.6448903049977681,0.39339986774177904,8.95513635580427e-47
1.6,0.645357119332266,0.394164638104404,8.55714552066307e-47
1.6,0.6456290617427151,0.39460972596467203,8.32778143620318e-47
1.6,0.6460967743975581,0.39537449632729704,7.937773075553151e-47
1.6,0.6465650533043781,0.39613926668992105,7.553212016378149e-47
1.6,0.646995409787381,0.39684129163316206,7.20527136180696e-47
1.6,0.6480073702530621,0.398489024141725,6.40915497478578e-47
1.6,0.649021936118862,0.400136756650287,5.644598508658909e-47
1.6,0.64961359674924,0.401095718676502,5.21555486873873e-47
1.6,0.650632259431794,0.40274345118506505,4.508171493766519e-47
1.6,0.651653496108168,0.40439118369362803,3.84167281844726e-47
1.6,0.6522490246646311,0.40535014571984207,3.4740818927988896e-47
1.6,0.653274308712113,0.406997878228406,2.8799011548249596e-47
1.6,0.654302135649468,0.40864561073696903,2.33618757702888e-47
1.6,0.6549014853925551,0.40960457276318296,2.0443724152360998e-47
1.6,0.655933310735314,0.41125230527174605,1.58744872419412e-47
1.6,0.6569676481683441,0.41290003778030804,1.18912079131668e-47
1.6,0.657570772815916,0.413858999806524,9.85119946388077e-48
1.6,0.6586090601715301,0.41550673231508706,6.832176190178829e-48
1.6,0.659649829123884,0.41715446482364804,4.4270351891873694e-48
1.6,0.660256682853722,0.41811342684986297,3.30362720220213e-48
1.6,0.661301353731258,0.41976115935842606,1.8231072636232e-48
1.6,0.662348476019556,0.421408891866989,8.573929780988709e-49
1.6,0.662959013471584,0.422367853893204,4.975831820356339e-49
1.6,0.664009990175222,0.424015586401766,1.4828581223655399e-49
1.6,0.6650633884124291,0.42566331891032905,2.45834172243349e-50
1.6,0.665677564690567,0.4266222809365441,5.28014116419846e-51
