radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.05086,14.882,1.956,0.0002844,1.114e-11,0.001748,0.00712,0.005845,0.006649,0.006874,0.005128,0.002459,0.0009134
0.05127,14.87,1.955,0.000288,1.106e-11,0.001769,0.007077,0.00582,0.00662,0.00684,0.005145,0.002484,0.0009271
0.05167,14.858,1.954,0.0002916,1.097e-11,0.001789,0.007032,0.005793,0.00659,0.006804,0.005161,0.002508,0.0009407
0.05207,14.846,1.953,0.0002952,1.088e-11,0.001809,0.006986,0.005765,0.006558,0.006766,0.005175,0.002533,0.0009544
0.05248,14.834,1.952,0.0002988,1.08e-11,0.00183,0.006937,0.005735,0.006525,0.006726,0.005189,0.002556,0.0009681
0.05288,14.821,1.952,0.0003024,1.071e-11,0.00185,0.006887,0.005705,0.006489,0.006685,0.005201,0.00258,0.0009818
0.05328,14.809,1.951,0.000306,1.063e-11,0.001869,0.006835,0.005672,0.006453,0.006643,0.005212,0.002603,0.0009955
0.05368,14.797,1.95,0.0003096,1.054e-11,0.001889,0.006781,0.005639,0.006415,0.006598,0.005222,0.002626,0.001009
0.05408,14.784,1.949,0.0003132,1.045e-11,0.001909,0.006726,0.005605,0.006376,0.006553,0.005231,0.002649,0.001023
0.05448,14.772,1.948,0.0003168,1.037e-11,0.001928,0.00667,0.005569,0.006335,0.006506,0.005238,0.002671,0.001037
0.05489,14.759,1.947,0.0003203,1.028e-11,0.001947,0.006612,0.005532,0.006294,0.006457,0.005244,0.002693,0.00105
0.05529,14.747,1.946,0.0003239,1.019e-11,0.001967,0.006553,0.005495,0.006251,0.006408,0.00525,0.002715,0.001064
0.05569,14.734,1.946,0.0003274,1.011e-11,0.001986,0.006493,0.005456,0.006207,0.006357,0.005254,0.002736,0.001078
0.05609,14.721,1.945,0.000331,1.002e-11,0.002004,0.006432,0.005416,0.006162,0.006305,0.005257,0.002757,0.001091
0.05649,14.709,1.944,0.0003345,9.936e-12,0.002023,0.006369,0.005376,0.006116,0.006253,0.005259,0.002778,0.001105
0.05688,14.696,1.943,0.000338,9.85e-12,0.002042,0.006306,0.005335,0.006069,0.006199,0.00526,0.002798,0.001119
0.05728,14.683,1.942,0.0003415,9.764e-12,0.00206,0.006241,0.005292,0.006021,0.006144,0.00526,0.002818,0.001132
0.05768,14.67,1.941,0.0003451,9.679e-12,0.002078,0.006176,0.00525,0.005972,0.006088,0.005259,0.002838,0.001146
0.05808,14.657,1.94,0.0003486,9.594e-12,0.002096,0.00611,0.005206,0.005922,0.006032,0.005257,0.002858,0.00116
0.05848,14.644,1.939,0.0003521,9.509e-12,0.002114,0.006043,0.005162,0.005872,0.005974,0.005254,0.002877,0.001173
0.05888,14.632,1.938,0.0003556,9.424e-12,0.002132,0.005976,0.005117,0.005821,0.005916,0.00525,0.002896,0.001187
0.05927,14.619,1.938,0.000359,9.339e-12,0.00215,0.005908,0.005072,0.005769,0.005858,0.005245,0.002914,0.001201
0.05967,14.606,1.937,0.0003625,9.255e-12,0.002167,0.005839,0.005026,0.005717,0.005799,0.005239,0.002933,0.001214
0.06007,14.592,1.936,0.000366,9.171e-12,0.002184,0.00577,0.004979,0.005664,0.005739,0.005232,0.002951,0.001228
0.06046,14.579,1.935,0.0003695,9.087e-12,0.002201,0.0057,0.004932,0.005611,0.005678,0.005225,0.002968,0.001241
0.06086,14.566,1.934,0.0003729,9.003e-12,0.002218,0.00563,0.004885,0.005557,0.005618,0.005216,0.002986,0.001255
0.06125,14.553,1.933,0.0003764,8.919e-12,0.002235,0.00556,0.004837,0.005503,0.005556,0.005207,0.003003,0.001268
0.06165,14.54,1.932,0.0003799,8.836e-12,0.002252,0.005489,0.004789,0.005448,0.005495,0.005197,0.00302,0.001282
0.06204,14.527,1.931,0.0003833,8.753e-12,0.002268,0.005419,0.004741,0.005393,0.005433,0.005186,0.003036,0.001295
0.06244,14.513,1.93,0.0003867,8.671e-12,0.002285,0.005348,0.004692,0.005338,0.005371,0.005175,0.003052,0.001309
0.06283,14.5,1.929,0.0003902,8.589e-12,0.002301,0.005276,0.004643,0.005282,0.005308,0.005162,0.003068,0.001322
0.06322,14.487,1.928,0.0003936,8.507e-12,0.002317,0.005205,0.004594,0.005226,0.005246,0.005149,0.003084,0.001336
0.06362,14.473,1.928,0.0003971,8.425e-12,0.002333,0.005134,0.004544,0.00517,0.005183,0.005135,0.003099,0.001349
0.06401,14.46,1.927,0.0004005,8.344e-12,0.002348,0.005063,0.004495,0.005113,0.00512,0.005121,0.003114,0.001363
0.0644,14.447,1.926,0.0004039,8.263e-12,0.002364,0.004991,0.004445,0.005057,0.005057,0.005105,0.003129,0.001376
0.06479,14.433,1.925,0.0004073,8.182e-12,0.002379,0.00492,0.004395,0.005,0.004994,0.005089,0.003143,0.00139
0.06519,14.42,1.924,0.0004107,8.102e-12,0.002395,0.004849,0.004346,0.004944,0.004931,0.005073,0.003157,0.001403
0.06558,14.406,1.923,0.0004142,8.022e-12,0.00241,0.004778,0.004296,0.004887,0.004868,0.005056,0.003171,0.001416
0.06597,14.393,1.922,0.0004176,7.942e-12,0.002425,0.004708,0.004246,0.00483,0.004805,0.005038,0.003184,0.001429
0.06636,14.379,1.921,0.000421,7.863e-12,0.00244,0.004637,0.004196,0.004773,0.004742,0.00502,0.003198,0.001443
0.06675,14.365,1.92,0.0004244,7.785e-12,0.002454,0.004567,0.004146,0.004716,0.004679,0.005001,0.003211,0.001456
0.06714,14.352,1.919,0.0004278,7.706e-12,0.002469,0.004497,0.004096,0.004659,0.004616,0.004981,0.003223,0.001469
0.06753,14.338,1.918,0.0004312,7.628e-12,0.002483,0.004427,0.004046,0.004603,0.004554,0.004961,0.003236,0.001482
0.06792,14.325,1.917,0.0004346,7.55e-12,0.002497,0.004358,0.003996,0.004546,0.004491,0.004941,0.003248,0.001496
0.06831,14.311,1.916,0.000438,7.473e-12,0.002511,0.004289,0.003946,0.00449,0.004429,0.00492,0.00326,0.001509
0.0687,14.297,1.915,0.0004414,7.396e-12,0.002525,0.004221,0.003897,0.004433,0.004367,0.004898,0.003272,0.001522
0.06909,14.283,1.914,0.0004448,7.32e-12,0.002539,0.004153,0.003847,0.004377,0.004305,0.004876,0.003283,0.001535
0.06948,14.27,1.913,0.0004482,7.244e-12,0.002552,0.004085,0.003798,0.004321,0.004244,0.004854,0.003294,0.001548
0.06987,14.256,1.912,0.0004516,7.168e-12,0.002566,0.004018,0.003749,0.004265,0.004183,0.004831,0.003305,0.001561
0.07025,14.242,1.911,0.000455,7.093e-12,0.002579,0.003951,0.0037,0.004209,0.004122,0.004807,0.003315,0.001574
0.07064,14.228,1.91,0.0004584,7.019e-12,0.002592,0.003885,0.003651,0.004154,0.004061,0.004784,0.003326,0.001587
0.07103,14.214,1.909,0.0004618,6.944e-12,0.002605,0.003819,0.003603,0.004098,0.004001,0.00476,0.003336,0.0016
0.07142,14.2,1.908,0.0004652,6.87e-12,0.002618,0.003754,0.003554,0.004043,0.003942,0.004735,0.003346,0.001613
0.0718,14.186,1.907,0.0004686,6.797e-12,0.002631,0.003689,0.003506,0.003989,0.003882,0.00471,0.003355,0.001626
0.07219,14.172,1.906,0.000472,6.724e-12,0.002643,0.003625,0.003458,0.003934,0.003823,0.004685,0.003364,0.001639
0.07258,14.158,1.906,0.0004755,6.652e-12,0.002656,0.003562,0.003411,0.00388,0.003765,0.004659,0.003374,0.001652
0.07296,14.144,1.905,0.0004789,6.579e-12,0.002668,0.003499,0.003363,0.003826,0.003706,0.004633,0.003382,0.001665
